source_id,modality,title,author_or_org,url_or_path,published_at,accessed_at,credibility_class,research_role,notes
S1,data,Checkpoint metrics inventory,GenRec local results,/Users/fanghaotian/Desktop/src/GenRec/docs/deepresearch/genrec_rl_study_2026-03-28/data/metrics_inventory.csv,n/a,2026-03-28,primary,Measured RL and SFT metrics,Derived from local metrics.json files under results/
S2,data,Beam16 hint difficulty table,GenRec local analysis bundle,/Users/fanghaotian/Desktop/src/GenRec/output/jupyter-notebook/genrec-hint-cascade-artifacts/instruments_grec_beam16_hint_difficulty_table.csv,2026-03-16 bundle,2026-03-28,primary,Offline hint difficulty and task distribution,"106,441 samples with effective hint depth"
S3,data,Beam16 cascade summary,GenRec local analysis bundle,/Users/fanghaotian/Desktop/src/GenRec/temp/rl_beam_hint/instruments_grec_beam_hint_cascade_20260314_task_index_fix_export_summary.json,2026-03-14 analysis,2026-03-28,primary,Offline stage recovery upper bound,Contains base/hint_1/hint_2/hint_3 cumulative hit rates
S4,data,Task-aware fixed hint map,GenRec local analysis bundle,/Users/fanghaotian/Desktop/src/GenRec/output/jupyter-notebook/genrec-hint-cascade-artifacts/instruments_grec_beam16_task_index_fix_hint_map.json,2026-03-16 bundle,2026-03-28,primary,Evidence for task+index composite-key map,sample_key_type=extra_info.task+index
S5,code,Reward setup implementation,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/rewards/ranking_reward.py,repo HEAD,2026-03-28,primary,"Defines rule_only, prefix, and ranking rewards",Ranking reward only active for groups with exact hit
S6,code,Token-level prefix trainer,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/token_prefix_grpo_trainer.py,repo HEAD,2026-03-28,primary,Defines token-level prefix advantage and totalnorm variants,Shows total-token normalization and errtok penalty logic
S7,code,Main RL trainer entrypoint,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/trl_trainer.py,repo HEAD,2026-03-28,primary,Documents dynamic/fixed hint enablement and eval behavior,fixed_hint_apply_to_eval and dynamic_hint_apply_to_eval default false
S8,code,Dynamic/fixed hint trainer internals,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/fixed_hint_grpo_trainer.py,repo HEAD,2026-03-28,primary,Stage selection and reward gather behavior,Mixed reward modes recompute after cascade selection
S9,code,External evaluation pipeline,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/evaluate.py,repo HEAD,2026-03-28,primary,Explains why final metrics.json are standard no-hint metrics,Builds constrained generation directly from test prompts and trie
S10,doc,Main results weekly report,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/docs/genrec_main_results_weekly_2026-03-18.zh.md,2026-03-18,2026-03-28,secondary,Prior internal synthesis for earlier reward and hint ablations,"Used only as corroborating narrative, not sole source"
S11,doc,Reward form analysis,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/docs/genrec_rl_reward_forms_2026-03-13.md,2026-03-13,2026-03-28,secondary,Explains intended semantics of reward variants,Cross-checked against current code
S12,doc,Dynamic vs fixed hint implementation note,GenRec repo,/Users/fanghaotian/Desktop/src/GenRec/docs/genrec_dynamic_fixed_hint_metrics_2026-03-17.zh.md,2026-03-17,2026-03-28,secondary,Clarifies fixed vs dynamic hint conceptual distinction,Cross-checked against current code
